"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"gmn perasaaan bini nya liat tas nya ditenteng gt y😅😁","2713","85","2025-08-30T12:12:51.000Z","item_manis_","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7100562050266956801","7544350427098645256","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7b87d1f7a84584a95d6309726636e26b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=84418614&x-expires=1756645200&x-signature=a6u%2FlU%2Bwsn94jNi7fWp6cLJosjw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"List Rumah Tujuan :
- Puan maharani Next
- Ahmad Syahroni ✅
- Eko Patrio Next
- Uya Kuya Next
- Nafa Urbach Next","1613","126","2025-08-30T12:21:38.000Z","queen_beeverly","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","6706284321856455682","7544352690131337992","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/cbe9ea5fe28deb6dd9147523fac6569b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3c0c00b7&x-expires=1756645200&x-signature=69LU6G5LewVPARh6PUvVVd8%2FeOg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Anjir jam tangan 11M 😭🤣","4108","140","2025-08-30T12:37:13.000Z","lachocolatte_27","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7102200762990806042","7544356700263318280","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/d559a79ee486c18f2f299674dd4b9535~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=049b0ba7&x-expires=1756645200&x-signature=5TXx8F6vXj9Zh01L%2F3V6HZ5halo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"KPK sm kejaksaan kalah sm rakyat. mereka berani merampas aset milik.pejabat","8192","28","2025-08-30T11:58:42.000Z","jazzin87","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7072311085995901954","7544346772744618770","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/bf3e7dcc0c04bbda8d71c820a399be19~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1936b3cb&x-expires=1756645200&x-signature=EbFfQqcU5itXydz1LdQaBdE3Wqc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"List Rumah Tujuan :
- Sri Mulyani (Mentri)
- Puan Maharani
- Ahmad Syahroni ✅
- Eko Patrio Next
- Uya Kuya Next
- Nafa Urbach Next","283","30","2025-08-30T12:27:35.000Z","bravepeople1312","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","6752772908953797633","7544354215507821320","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3c644681e838594f7d7815a547a03927~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=36f21ddd&x-expires=1756645200&x-signature=GZc7H1Mh%2BzUmeIy9CGaZNidGfDs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"THE REAL UU PERAMPASAN ASETT. 👍👍👍😅","1760","4","2025-08-30T12:11:36.000Z","mastri_terapis","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","74981828577","7544350103998645013","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/d442230bd1e3f6f2f2de7817c029ec30~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=20f55214&x-expires=1756645200&x-signature=PJ7FNymEynvNvEGjmvpQGDbMU4Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"amalan apa lu sahroni sampe2 rakyat ikut mnikmati uang mu 😫😫","1698","33","2025-08-30T12:20:50.000Z","nikenny_kamil","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","6786177819309130754","7544352474137248530","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/f91f9a98698f0e74df0b21041cb47d08~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=36e0d792&x-expires=1756645200&x-signature=5RGDGPbIddsudsytcEQoKU2MmPE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"jam tangan 11 M, blum lagi uang dalam brangkas 🤣","274","16","2025-08-30T12:27:54.000Z","6499.serunting_sakti","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7094233562153485314","7544354300320121607","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/104feb6d4a04a7924bc6f66fe406f242~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c5fd2aa1&x-expires=1756645200&x-signature=4vku2MJ8%2FCrlrAr7sKdVqi0V%2BOs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kPK sama kejaksaan kalah sama rakyat 😂","3186","14","2025-08-30T12:18:16.000Z","mamiduosister","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","6790849280858752001","7544351826919392018","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/531d7f248c448cd18eccb70f285f7bba~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dd236e7c&x-expires=1756645200&x-signature=%2B5NKzwvjJQTeCeU7O24JWFkcTE4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Real real perampasaan aset oleh rakyat😂dari rakyat ke rakyat","607","58","2025-08-30T12:15:47.000Z","suneo9706","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7530257639940490296","7544351185722999559","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/d936434eae7e7da930b8cd4816cd723d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=630906b9&x-expires=1756645200&x-signature=RtF%2B0AuHfUYMt5Ju1CgNJ0xebb4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"lumayan","289","15","2025-08-30T12:59:23.000Z","ganza226","https://www.tiktok.com/@awuu.daily/video/7544337064255376646","7505779167758304264","7544362415778464520","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/38811a53b6b2a04f6145210339316bdb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1522abbc&x-expires=1756645200&x-signature=AIViZ2ul68AXCM1PdGIm1B3EZRM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
